Designator,Footprint,Quantity,Value,LCSC Part #
"C1, C2",1206,2,4.7uF/50V,C29823
"C10, C14, C15, C17, C8, C9",1206,6,22uF/25V,C12891
"C11, C5",0402,2,100nF/16V,C1525
"C12, C60",0402,2,2.2nF,C1531
C13,0402,1,22pF,C106203
"C16, C34",0805,2,10uF/16V,C3039694
"C18, C21, C23, C24, C25, C26, C27, C30, C33, C35, C37, C38, C39, C40, C41, C42, C43, C46, C50, C51, C56, C58",0402,22,100nF/50V,C307331
"C19, C20, C22, C49",0603,4,1uF/50V,C5199872
"C28, C29",0805,2,4.7uF/16V,C2885646
"C3, C52, C53, C54, C55",0805,5,4.7uF/50V,C437557
"C31, C32",0402,2,15pF,C107004
C36,0603,1,2.2uF/16V,C415535
C4,0603,1,100nF/50V,C14663
"C47, C48",0805,2,22uF/16V,C45783
C59,0402,1,6.8pF,C189470
C6,0402,1,1.8nF,C107024
C7,0402,1,27pF,C107002
D1,D_SMA,1,SMAJ33A,C908777
D4,D_SOD-123,1,B5819W,C64885
D5,0603,1,RED 3V3,C2286
D6,0603,1,GREEN 5V,C965804
D7,0603,1,YELLOW VBAT,C965802
D8,0603,1,BLUE STATUS,C965807
FB1,0805,1,600R@100MHz 2A,C1017
J1,JST_SH_SM08B-SRSS-TB_1x08-1MP_P1.00mm_Horizontal,1,ESC 8P,C160407
J2,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,HD VTX 6P,C53055322
J3,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,RX 4P,C160404
J4,JST_SH_SM06B-SRSS-TB_1x06-1MP_P1.00mm_Horizontal,1,GPS/I2C 6P,C53055322
J5,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,CAM 4P,C160404
J6,JST_SH_SM04B-SRSS-TB_1x04-1MP_P1.00mm_Horizontal,1,VTX 4P,C160404
J8,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB-C 16P,C165948
L1,L_cjiang_FXL0630,1,6.8uH FXL0630-6R8-M,C167221
L2,L_Bourns_SRP5030T,1,10uH SRP5030T-100M,C189932
L3,L_Sunlord_SWPA4018S,1,2.2uH SWPA4018S2R2MT,C50543
Q1,SOT-23,1,2N7002,C8545
Q2,SOT-23,1,AO3400A,C20917
"R1, R7",0402,2,294k,C159047
R10,0402,1,118k,C25748
"R11, R5",0402,2,10.2k,C5153958
R12,0402,1,31.6k,C2998091
"R13, R14, R20, R28, R34, R35, R36, R37, R38, R50",0402,10,10k,C25744
"R16, R17",0402,2,5.1k,C25905
"R18, R19, R25, R26, R39",0402,5,2.2k,C25879
"R2, R8",0402,2,57.6k,C2960799
"R21, R22",0402,2,75R,C2909384
R23,0603,1,10k,C25804
"R24, R30, R33, R40, R41",0402,5,1k,C11702
"R27, R49",0402,2,100k,C25741
R29,0402,1,100R,C22369194
R3,0402,1,180k,C2909325
R31,0402,1,1.5k,C25867
R32,0603,1,15k,C22809
R4,0402,1,53.6k,C53398
"R42, R43, R44, R45, R47",0402,5,33R,C2906868
R48,0402,1,453k,C3013172
R6,0402,1,25.5k,C2998160
R9,0402,1,110k,C2909311
SW1,SW_SPST_B3U-1000P,1,BOOT,C231329
"U1, U2",SOIC-8-1EP_3.9x4.9mm_P1.27mm_EP2.62x3.51mm,2,AP64350SP-13,C2071691
U10,HTSSOP-28-1EP_4.4x9.7mm_P0.65mm_EP2.75x6.2mm,1,AT7456E,C82351
U3,SOT-23-5,1,TLV62569DBVR,C141836
U4,SOT-23-5,1,LP5907MFX-3.3,C80670
U5,LQFP-64_10x10mm_P0.5mm,1,STM32F722RET6,C118207
U6,SOT-23-6,1,USBLC6-2SC6,C2687116
U7,Bosch_LGA-14_3x2.5mm_P0.5mm,1,ICM-42688-P,C1850418
U8,Bosch_LGA-10_2x2mm_BMP388_BMP390,1,BMP388,C779278
U9,SOIC-8_5.3x5.3mm_P1.27mm,1,W25Q128JVSIQ,C97521
X1,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,8MHz X32258MOB4SI 12pF,C2682775
X2,Crystal_SMD_3225-4Pin_3.2x2.5mm,1,27MHz X322527MSB4SI,C9008
