Designator,Mid X,Mid Y,Rotation,Layer
C1,89.7,-82.6,180.0,bottom
C10,103.8,-91.5,0.0,bottom
C11,86.7,-109.7,180.0,bottom
C12,96.3,-109.71,180.0,bottom
C13,94.78,-106.165,270.0,bottom
C14,96.7,-112.8,270.0,bottom
C15,83.2,-111.3,180.0,bottom
C16,114.0,-93.6,180.0,bottom
C17,110.1,-84.5,180.0,bottom
C18,118.5,-90.1,90.0,bottom
C19,109.963,-94.338,270.0,bottom
C2,82.0,-90.2,90.0,bottom
C20,106.763,-87.862,0.0,bottom
C21,109.363,-86.362,180.0,bottom
C22,101.0,-110.1,180.0,top
C23,102.0,-102.7,180.0,bottom
C24,109.8,-103.7,90.0,top
C25,109.8,-97.3,90.0,top
C26,96.9,-92.2,180.0,top
C27,92.2,-105.1,270.0,top
C28,106.675,-110.25,180.0,top
C29,110.3,-100.2,270.0,top
C3,84.3,-89.9,90.0,bottom
C30,97.6,-109.8,180.0,top
C31,96.4,-104.5,270.0,bottom
C32,102.0,-105.8,270.0,bottom
C33,100.55,-108.425,270.0,bottom
C34,101.65,-91.745,180.0,top
C35,106.5,-88.3,0.0,top
C36,109.85,-88.963,90.0,top
C37,104.4,-92.2,180.0,top
C38,110.8,-91.0,0.0,top
C39,110.5,-95.0,0.0,top
C4,86.2,-89.9,270.0,bottom
C40,87.9,-86.4,270.0,top
C41,118.425,-106.475,180.0,bottom
C42,113.775,-95.625,180.0,bottom
C43,116.325,-95.225,90.0,bottom
C46,111.925,-95.625,180.0,bottom
C47,105.925,-98.325,0.0,bottom
C48,105.975,-96.325,0.0,bottom
C49,111.4,-113.1,270.0,top
C5,93.88,-92.205,0.0,bottom
C50,98.75,-111.875,180.0,top
C51,102.05,-112.975,270.0,top
C52,81.72,-107.4,90.0,bottom
C53,83.1,-94.4,180.0,bottom
C54,106.6,-103.1,90.0,bottom
C55,83.72,-108.2,90.0,bottom
C56,87.32,-106.935,0.0,top
C58,105.75,-111.775,0.0,top
C59,109.8,-87.4,180.0,bottom
C6,92.37,-84.565,180.0,bottom
C60,84.62,-105.165,90.0,bottom
C7,94.48,-84.865,90.0,bottom
C8,89.2,-102.25,180.0,bottom
C9,99.1,-86.5,270.0,bottom
D1,111.1,-110.2,90.0,bottom
D4,110.9,-107.2,270.0,top
D5,106.9,-80.9,0.0,top
D6,109.6,-80.9,0.0,top
D7,112.3,-80.9,0.0,top
D8,115.0,-80.9,0.0,top
FB1,110.4,-110.6,0.0,top
J1,94.5,-116.95,0.0,top
J2,83.05,-94.5,270.0,top
J3,116.95,-105.5,90.0,top
J4,117.5,-94.5,90.0,top
J5,83.05,-105.5,270.0,top
J6,106.5,-116.95,0.0,top
J8,100.0,-84.15,180.0,top
L1,88.9,-96.3,270.0,bottom
L2,91.8,-112.8,180.0,bottom
L3,115.5,-90.1,180.0,bottom
Q1,103.9,-111.3,270.0,bottom
Q2,100.0,-112.2,0.0,bottom
R1,90.5,-84.5,180.0,bottom
R10,92.2,-102.4,90.0,bottom
R11,85.7,-101.8,180.0,bottom
R12,95.78,-106.365,270.0,bottom
R13,106.55,-112.237,180.0,bottom
R14,92.2,-107.2,270.0,top
R16,108.1,-87.8,270.0,top
R17,106.5,-87.2,0.0,top
R18,114.5,-100.1,0.0,top
R19,116.6,-100.1,0.0,top
R2,92.7,-82.9,90.0,bottom
R20,104.8,-103.9,90.0,bottom
R21,98.4,-92.5,90.0,bottom
R22,108.4,-114.95,0.0,bottom
R23,103.9,-111.0,90.0,top
R24,113.3,-110.1,180.0,top
R25,101.1,-113.1,270.0,top
R26,91.7,-111.3,90.0,top
R27,91.7,-109.7,0.0,top
R28,99.3,-114.6,180.0,bottom
R29,96.3,-110.9,0.0,top
R3,88.5,-85.6,180.0,bottom
R30,107.013,-82.6,270.0,top
R31,108.513,-83.0,270.0,top
R32,110.513,-83.6,180.0,top
R33,117.587,-81.6,270.0,top
R34,91.835,-93.188,180.0,top
R35,88.065,-84.012,90.0,top
R36,111.0,-96.6,90.0,top
R37,104.613,-91.2,180.0,top
R38,98.925,-91.225,180.0,top
R39,92.8,-111.3,90.0,top
R4,93.0,-85.6,180.0,bottom
R40,98.2,-109.8,180.0,bottom
R41,106.55,-111.237,0.0,bottom
R42,98.4,-110.9,180.0,top
R43,89.7,-111.9,0.0,top
R44,95.5,-109.8,0.0,top
R45,93.9,-110.4,270.0,top
R47,83.8,-100.75,0.0,top
R48,111.9,-87.4,0.0,bottom
R49,111.7,-86.3,180.0,bottom
R5,95.58,-89.995,180.0,bottom
R50,89.9,-93.3,0.0,top
R6,91.08,-85.765,0.0,bottom
R7,86.5,-111.3,90.0,bottom
R8,84.7,-100.1,90.0,bottom
R9,85.6,-102.9,0.0,bottom
SW1,91.0,-101.5,180.0,top
U1,90.9,-89.0,90.0,bottom
U10,113.6,-100.5,0.0,bottom
U2,88.8,-106.3,90.0,bottom
U3,111.4,-90.1,270.0,bottom
U4,107.913,-90.7,270.0,bottom
U5,101.0,-101.0,0.0,top
U6,90.9,-96.0,270.0,top
U7,107.2,-90.8,0.0,top
U8,110.7,-93.0,90.0,top
U9,91.5,-88.0,0.0,top
X1,99.2,-105.0,180.0,bottom
X2,115.725,-106.975,90.0,bottom
